pH_method,waterTemperature_results_1,rainedIn7Days,_id,pH_results_1,turbidity_results_2,dissolvedOxygen_units,weatherConditions,windSpeedMPH,dissolvedOxygen_results_2,waterTemperature_results_0,waterTemperature_results_2,turbidity_average,salinity_results_0,dissolvedOxygen,pH,waterColor,turbidity_results_1,waterTemperature,expedition_id,waterTemperature_units,pH_results_0,airTemperatureC,waterTemperature_method,salinity_average,salinity_method,windDirection,salinity_results_2,dissolvedOxygen_results_1,salinity,rainedIn24Hours,pH_average,turbidity_units,pH_units,turbidity_method,waterGarbage,dissolvedOxygen_average,rainedIn72Hours,dissolvedOxygen_results_0,humidityPer,sizeOfLiveOysterMM,dissolvedOxygen_method,pH_results_2,waterTemperature_average,landGarbage,salinity_units,turbidity_results_0,salinity_results_1,oilSheen,turbidity
sensorRO,80,False,578fc14069723c560e30fca9,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,22,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,57902d4169723c560e30fe0c,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,41,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,57902d4169723c560e30fe0b,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,25,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,578fc14069723c560e30fca7,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,21,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,57902d4169723c560e30fe0a,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,23,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,57902d4169723c560e30fe09,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,29,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,578fc14069723c560e30fca5,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,46,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,57902d4169723c560e30fe08,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,41,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,57902d4169723c560e30fe07,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,35,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
sensorRO,80,False,57902d4169723c560e30fe06,7.8,65.2,mgl,partly-cloudy,4.6,6,81,82,64.8,17,,,lightGreen,64.8,,578fc12f69723c560e30fc90,f,7.9,32,digitalThermometer,16.333333333333332,hydrometer,north,16,6,,False,7.833333333333333,cm,pHlogscale,turbidityTube,False,5.666666666666667,False,5,42,34,colormetricvAmpules,7.8,81,False,ppt,64.4,16,False,
